period,gaslimit,transactionpool,connection,position,number,dbreadtime,dbwritetime,tps,consensus_clique_cost,delay,contracttime,queuetime,peer_message_sent,peer_message_recieved,peer_message_tps
5,15000000,5120 2048 3072 2048,ring,a,1,562.4123055555553,1795.2336249999998,50.0,83.088282592125,3513.069892473118,232.87208347141643,2996.285106382979,47461.14834673816,34171.87220732797,81633.02055406613
5,15000000,5120 2048 3072 2048,ring,a,2,382.5907096774194,1981.767,25.0,9.732423441714284,17322.707753479124,232.2620057520241,16926.47052947053,25613.53620405249,12377.600512100844,37991.13671615333
5,15000000,5120 2048 3072 2048,ring,a,4,138.97371200000003,1374.4128750000002,12.5,95.37036680099996,18803.21052631579,251.66526796193423,32530.973793103447,18866.326735994637,9362.026165716205,28228.35290171084
5,15000000,5120 2048 3072 2048,ring,b,1,620.3065,1768.2956250000002,50.0,101.47794710425,4393.54222972973,247.3710951638066,4280.513486513487,90.26548672566372,56.991150442477874,147.2566371681416
5,15000000,5120 2048 3072 2048,ring,b,2,236.4483589743589,1175.19775,25.0,77.33908230425,7974.2875,229.2065463829788,8978.852709100473,18484.958047101947,12736.288945130846,31221.24699223279
5,15000000,5120 2048 3072 2048,tree,a,1,486.1320277777777,1979.344125,50.0,71.04667478699999,4295.647435897436,264.49175788847,2265.918762746431,104659.49780430133,48158.58574484856,152818.08354914986
5,15000000,5120 2048 3072 2048,tree,a,2,309.3831186440678,1358.8629999999998,24.99937501562461,9.742206734285714,8482.096385542169,252.53717400086612,5868.672914147521,78177.97581486394,25420.870304310312,103598.84611917424
5,15000000,5120 2048 3072 2048,tree,a,4,161.28566901408456,1395.4391,15.52480593992575,67.18684601340001,18562.25,247.3090336493928,33729.58402092977,48306.4867711465,19829.561438008703,68136.04820915521
5,15000000,5120 2048 3072 2048,tree,b,1,395.6340263157894,1276.3513750000002,50.0,68.67201658387502,5114.9425925925925,293.3977903377106,4893.430569430569,101852.3460845366,45443.5548256119,147295.90091014848
5,15000000,5120 2048 3072 2048,tree,b,2,253.66634722222227,1709.4185,25.00062501562539,86.17098884037499,8818.666666666666,252.29838746268703,6183.282064254996,75489.96749243358,29339.17473128324,104829.14222371684
5,15000000,5120 2048 3072 2048,random,a,1,728.3597499999998,1256.7455,50.0,77.92194389475,4047.3496240601503,226.69471395348836,3708.568431568432,118.60218849276386,57.46558418637487,176.06777267913873
5,15000000,5120 2048 3072 2048,random,a,2,268.4045573770492,1873.9735714285716,25.0,9.792689731285716,8222.333333333334,267.3070877465444,10143.146198830407,57343.557342523454,16082.519624736742,73426.07696726019
5,15000000,5120 2048 3072 2048,random,a,4,143.34947159090913,1812.163111111111,15.25,86.11384342988887,18703.42857142857,247.5340980355957,30449.050194632247,44686.24284859199,15214.618800373057,59900.861648965045
5,15000000,5120 2048 3072 2048,random,b,1,841.615625,1416.481,50.0,71.1060380695,5322.059040590406,273.2477123015876,4902.44055944056,128.57214604992217,49.97237707799709,178.54452312791923
5,15000000,5120 2048 3072 2048,random,b,2,223.93307575757572,1694.2605,24.99937501562461,81.56148217674998,8195.2,241.0633961243808,9607.627564439768,67816.02959926001,17236.844078898026,85052.87367815805
5,16000000,1024 2048 3072 2048,ring,a,1,444.9823243243243,1808.295125,49.99750012499375,91.327772586375,3956.228873239437,212.7467388454224,2706.7832604622117,48430.60490063493,34974.1902950008,83404.79519563573
5,16000000,1024 2048 3072 2048,ring,a,2,470.633,4304.988571428572,24.99937501562461,9.816220382714288,8402.5375,238.86962826453333,9195.985122210415,26472.094336072256,12121.16916515085,38593.263501223104
5,16000000,1024 2048 3072 2048,ring,b,1,512.5485,1441.584,49.99750012499375,61.887414508625,3809.323636363637,220.7427967032968,3744.514485514485,91.28820100002076,57.67754517728584,148.96574617730658
5,16000000,1024 2048 3072 2048,ring,b,2,215.8464,2184.8204285714287,33.332222259258025,74.86446129657143,8791.169491525423,224.16420492839077,8323.92425039453,20964.97059575556,14425.43822267678,35390.40881843234
5,16000000,1024 2048 3072 2048,tree,a,1,491.5540857142857,1563.232,50.00250012500625,121.56394422175,3710.785714285714,286.23515768699485,2246.6004566210045,120321.92120447168,44618.39614136315,164940.31734583483
5,16000000,1024 2048 3072 2048,tree,a,2,269.6114333333333,1307.8528571428574,25.0,9.834519816428571,8251.897196261682,258.8459521306818,5493.447038225853,67464.71017181163,26246.6897795745,93711.39995138612
5,16000000,1024 2048 3072 2048,tree,b,1,375.31090000000006,1242.910125,49.99750012499375,87.45253440124999,4496.32183908046,276.55352094627864,4288.605394605394,100774.64757464758,55689.13308913309,156463.78066378066
5,16000000,1024 2048 3072 2048,tree,b,2,337.1955606060605,1566.9357142857143,33.333333333333336,79.34353638114285,8488.6,198.80976108469335,12506.190753690753,61202.87630741246,36333.532287403366,97536.40859481585
5,16000000,1024 2048 3072 2048,random,a,1,727.8135,1762.71825,50.0,67.05397814037501,3781.6930147058815,271.3739827387801,3625.668331668332,126.3157894736842,55.83732057416268,182.1531100478469
5,16000000,1024 2048 3072 2048,random,a,2,270.28079032258046,1514.9767142857145,25.0,9.71585114714286,8036.675213675214,248.77000646248948,8948.59328358209,72050.54782811407,18327.25930530733,90377.8071334214
5,16000000,1024 2048 3072 2048,random,b,1,766.50325,2706.882875,50.0,99.1069320635,3642.3732142857134,235.754045936396,3479.2407592407594,104.65563678337824,57.7914582531743,162.44709503655253
5,16000000,1024 2048 3072 2048,random,b,2,224.36905,1126.8435,25.0,82.14845123399998,8767.111111111111,235.99730571145605,8817.603684210526,86716.12424360603,22284.07704210645,109000.2012857125
5,16000000,2048 2048 3072 2048,ring,a,1,421.29516666666655,1455.825375,50.0,71.30935195575,3937.3488372093034,243.26214504596507,3014.1966604823747,47416.41731052655,34231.365280693135,81647.78259121969
5,16000000,2048 2048 3072 2048,ring,a,2,468.0208399999999,1841.1968333333336,33.332222259258025,9.724200891166667,7877.578947368421,234.8575089530225,8799.007923930269,33046.24436618698,14604.61139370752,47650.8557598945
5,16000000,2048 2048 3072 2048,ring,b,1,562.773875,1258.53425,50.0,86.26591172,4155.967391304348,218.17116561514132,3962.014985014985,103.25385503702194,78.34612684826665,181.5999818852886
5,16000000,2048 2048 3072 2048,ring,b,2,244.98940625,1694.4711428571427,33.332222259258025,94.13243564771427,8278.602409638554,221.1228864830777,8516.457368421052,20094.0913109191,13544.70014543588,33638.79145635498
5,16000000,2048 2048 3072 2048,tree,a,1,476.1169189189188,1345.413125,50.0,81.188968078875,3337.7397260273974,286.6558038662906,2154.119257086999,102725.29013867836,43946.858810487975,146672.14894916635
5,16000000,2048 2048 3072 2048,tree,a,2,310.6664038461538,8214.9845,33.333333333333336,9.755981367666667,8449.63768115942,228.31963236994196,5617.783571220507,73472.86152251824,30828.605149905725,104301.46667242397
5,16000000,2048 2048 3072 2048,tree,b,1,452.5709210526316,1554.8578749999997,50.0,79.533213592875,3650.819105691057,257.6392885000007,3603.170829170829,102433.22868872252,44648.72340892626,147081.95209764878
5,16000000,2048 2048 3072 2048,tree,b,2,290.1379863013698,6698.865875,24.998750062496875,122.535430384625,8818.448275862069,261.45419067984085,6475.125782881002,63940.39199083528,29285.38875329979,93225.78074413507
5,16000000,2048 2048 3072 2048,random,a,1,725.93375,2439.286625,50.00250012500625,79.30866301075001,3716.522906793049,228.343503144654,3675.054945054945,136.72097527629032,84.16885040446621,220.88982568075653
5,16000000,2048 2048 3072 2048,random,a,2,275.56195,2265.4635714285714,25.0,9.720905652142855,8974.587301587302,258.6721623246486,10703.51347068146,82629.81806968855,17304.33497790112,99934.15304758969
5,16000000,2048 2048 3072 2048,random,a,4,208.97567938931303,1500.0029,23.318468970642883,66.0135368545,17843.847682119205,245.63393408028807,17107.040313111545,55198.28397625882,18893.22691808048,74091.5108943393
5,16000000,2048 2048 3072 2048,random,b,1,489.9045,1462.143375,50.0,66.30673582725001,4400.075098814229,242.97056080722209,4260.948051948052,95.38281706604324,34.01519579193454,129.3980128579778
5,16000000,2048 2048 3072 2048,random,b,2,221.48694029850745,6338.63125,25.0,81.70645848424998,8396.032967032967,249.29041172994465,8995.867027027027,56016.47382086768,15457.952053240566,71474.42587410824
5,16000000,5120 2048 3072 2048,ring,a,1,456.140081081081,1313.0267499999998,49.99750012499375,72.411505468,3819.059633027523,237.7634649917624,2796.6803995006244,48581.81029958701,35158.5552285121,83740.36552809912
5,16000000,5120 2048 3072 2048,ring,a,2,315.8545833333334,1455.9351428571429,25.0,9.822806245142855,10805.02192982456,276.6693213386651,11906.147581139008,29118.460840641063,17636.730168329806,46755.19100897087
5,16000000,5120 2048 3072 2048,ring,a,4,156.30015730337078,1756.6055714285717,29.94222557146445,82.89442740342858,27303.94397759104,224.0776504629636,8394.487386478304,190.2728082151191,116.8070952642708,307.07990347938994
5,16000000,5120 2048 3072 2048,ring,b,1,887.670375,1438.321125,50.0,93.84714964425,3829.5183673469382,214.0741173469388,3672.7742257742257,104.00555891780422,55.83574294488154,159.84130186268575
5,16000000,5120 2048 3072 2048,ring,b,2,332.5690909090911,1376.3473749999998,25.0,76.45192395075,8392.642857142857,273.00342556368594,9258.420305102578,20958.12537117297,15068.005205898333,36026.1305770713
5,16000000,5120 2048 3072 2048,tree,a,1,516.1199142857143,1657.937625,50.0,120.45406664774998,3532.032,258.4695537892781,2265.6778020605684,112805.8518468193,47029.48569875671,159835.337545576
5,16000000,5120 2048 3072 2048,tree,a,2,347.1698461538461,2336.168,33.333333333333336,9.7825653945,8607.65671641791,219.57486359623303,5778.573455233292,82375.17889410914,29988.05926996747,112363.2381640766
5,16000000,5120 2048 3072 2048,tree,a,4,180.0108932038835,2790.131833333334,16.666666666666668,130.55077362250003,18659.0,238.34795425028008,38533.40439890028,5280.066125779675,2184.297863027404,7464.363988807078
5,16000000,5120 2048 3072 2048,tree,b,1,364.2336000000001,1815.371625,50.0,69.23306295749998,3943.801901743265,247.27691600000009,3740.28071928072,6364.850451091063,15327.785431758588,21692.63588284965
5,16000000,5120 2048 3072 2048,tree,b,2,256.5680447761195,1593.12175,25.0,121.33439795400002,9199.0,263.3443802433568,15923.209697575609,80889.97433877893,27659.84908153154,108549.82342031048
5,16000000,5120 2048 3072 2048,random,a,1,483.301,1850.86125,50.0,68.96352776225002,3584.3417322834644,207.4545584642237,3589.422577422577,85.08914100486224,41.43030794165316,126.5194489465154
5,16000000,5120 2048 3072 2048,random,a,2,315.7211129032257,5375.007428571429,25.0,9.776286327571428,7712.61797752809,247.39655078471893,8626.378620326488,63966.44150709063,13683.627561559812,77650.06906865044
5,16000000,5120 2048 3072 2048,random,a,4,165.7657354838711,1659.6113333333335,15.3625,80.00278634922222,18216.47619047619,263.6217655882602,32183.043283247363,43089.276333725655,15078.251444606249,58167.5277783319
5,16000000,5120 2048 3072 2048,random,b,1,946.9415,1387.5857500000002,50.0,96.339066282125,3830.6746987951806,270.4146107648722,3731.672327672328,97.93331893137469,47.67048318571326,145.60380211708792
5,16000000,5120 2048 3072 2048,random,b,2,227.4834923076923,1405.65425,24.99937501562461,118.07664069900002,8421.347826086956,246.3362897719126,8368.631151699645,52964.98331646234,15726.539946762645,68691.52326322498
5,16000000,5120 2048 3072 2048,random,b,4,244.4122232142857,764.6034444444442,22.15360864531069,62.77344011748148,27881.10714285714,251.44634503031472,30474.5926183844,43700.92105263158,19818.69298245614,63519.61403508772
5,17000000,1024 2048 3072 2048,ring,a,1,427.8954722222223,1697.6102500000002,50.0,58.5049723945,3945.780952380952,256.4347209347989,3266.5289457647777,48612.66706198969,34991.85786616795,83604.52492815764
5,17000000,1024 2048 3072 2048,ring,a,2,307.30631481481475,3898.872666666666,33.332222259258025,9.745384204833334,9286.935622317596,235.8515057573077,9495.112429731418,35062.79140263002,20913.809778137045,55976.601180767066
5,17000000,1024 2048 3072 2048,ring,a,4,196.4223859649123,1741.4892857142854,16.666666666666668,96.942593315,18701.571428571428,205.85650415345123,24290.235761132204,21289.23813730733,10541.26271902293,31830.500856330254
5,17000000,1024 2048 3072 2048,ring,b,1,863.844375,1674.1909999999998,50.0,102.810513671875,3658.2920962199314,248.40160572429923,3542.1528471528472,120.60828526481384,70.9884635553225,191.59674882013636
5,17000000,1024 2048 3072 2048,ring,b,2,225.88751724137933,1761.9647142857143,33.333333333333336,86.4900566117143,8084.959459459459,236.0029033254853,7505.742766964755,25912.71447300918,19368.83657299208,45281.55104600125
5,17000000,1024 2048 3072 2048,ring,b,4,130.4574273504273,533.8733448275863,20.311992200195,51.683924306,13333.0,240.56297160370283,26242.68831168831,16858.151636164323,13338.273503178363,30196.42513934269
5,17000000,1024 2048 3072 2048,tree,a,1,563.4286944444443,1428.3256250000002,50.0,69.69336293275,4096.064356435643,281.3824513438381,2311.042449773169,113145.00464105408,52158.67877113944,165303.68341219352
5,17000000,1024 2048 3072 2048,tree,a,2,265.06267924528305,1783.6875000000002,33.332222259258025,9.639991319333332,8117.066666666667,252.35220978417263,5711.307875185736,68364.04524602903,26434.66371800427,94798.70896403329
5,17000000,1024 2048 3072 2048,tree,a,4,183.16128828828823,1222.3011428571428,16.666666666666668,95.3044809275714,18869.33333333333,247.9457217558177,35819.27068232942,45669.77221677615,18043.727277639267,63713.49949441541
5,17000000,1024 2048 3072 2048,tree,b,1,359.42745454545457,1569.3887500000003,50.00250012500625,68.604871693,3740.890359168242,219.98457400000004,3583.452547452548,6570.16198920072,15176.877097082415,21747.039086283137
5,17000000,1024 2048 3072 2048,tree,b,2,247.299447761194,1215.059,25.0,67.90721775625002,9017.0,276.5568913440909,15331.015996001,87697.94175052596,27938.708777977743,115636.65052850371
5,17000000,1024 2048 3072 2048,tree,b,4,138.54369014084506,3835.4534705882343,21.899635006083237,49.28910322923528,19138.166666666668,229.90135204901597,28772.958935361217,29284.64393601588,14052.045193340326,43336.6891293562
5,17000000,1024 2048 3072 2048,random,a,1,479.106375,1401.21375,50.0,85.26798241087499,3670.547024952016,188.9814564950979,3365.997002997003,103.63265531117358,60.00220495011301,163.63486026128658
5,17000000,1024 2048 3072 2048,random,a,2,298.07274545454544,1846.5815,33.333333333333336,9.645020116833336,7635.618644067797,245.2911068178634,8434.798112218145,75480.60110093903,16572.97400724147,92053.5751081805
5,17000000,1024 2048 3072 2048,random,a,4,151.9035496183206,1881.499875,21.133333333333333,68.00050023925,19256.0,256.8591963604648,26628.04404482669,48865.3632801893,16901.37708987936,65766.74037006866
5,17000000,1024 2048 3072 2048,random,b,1,415.854125,1352.482875,50.0,81.3916750515,3710.25,239.06197768643577,3560.809190809191,93.6790536503764,55.22762576173975,148.90667941211615
5,17000000,1024 2048 3072 2048,random,b,2,321.9408771929823,1234.563142857143,33.333333333333336,93.41071417942858,8498.00925925926,232.9213630952381,8054.409700722394,59340.6799193316,15760.28522039758,75100.96513972919
5,17000000,2048 2048 3072 2048,ring,a,1,390.6966756756757,2382.7273750000004,50.0,71.97225521412497,4030.865979381443,266.2392896841259,3081.987116564417,48269.578177219766,34860.67202601391,83130.25020323368
5,17000000,2048 2048 3072 2048,ring,a,2,408.2156226415095,1836.1131666666668,33.333333333333336,9.709171280166666,8302.380952380952,241.64601704807228,9179.156579677956,36316.76715729739,17464.340604126028,53781.107761423424
5,17000000,2048 2048 3072 2048,ring,b,1,583.1545000000001,1406.7833749999998,50.0,74.668643095125,3840.8839103869655,251.45225588066543,3607.746253746254,114.18783899514702,40.77823404115154,154.96607303629855
5,17000000,2048 2048 3072 2048,ring,b,2,298.76913333333323,2158.6744285714285,33.333333333333336,107.38035348514286,8575.220930232557,255.5116909559161,7527.899543378995,26761.42073346809,20103.24862835692,46864.66936182501
5,17000000,2048 2048 3072 2048,ring,b,4,128.83786259541986,1867.4058571428573,14.497796334957089,44.14115901774287,14177.333333333334,231.21478844669824,36105.44555444556,15573.428628598584,12467.453290312898,28040.881918911484
5,17000000,2048 2048 3072 2048,tree,a,1,411.1538648648648,1748.620375,50.0,4.485638492875,3889.858823529412,263.4125610749187,2040.3936957220967,108715.29732183386,46826.62278710849,155541.92010894234
5,17000000,2048 2048 3072 2048,tree,a,2,395.1220166666666,2057.3502857142857,24.99937501562461,9.807347369428571,8559.510416666666,270.5380296779941,5960.268852459017,73260.26482557041,26420.344449623928,99680.60927519434
5,17000000,2048 2048 3072 2048,tree,b,1,438.8040666666666,1600.489375,49.99750012499375,85.83689411962501,3519.0473773265653,226.72594300000011,3417.5284715284715,5602.202829036484,14832.500610663292,20434.703439699777
5,17000000,2048 2048 3072 2048,tree,b,2,322.26053333333334,2936.313571428572,33.33444448148272,80.1750753547143,8533.4,254.1835370092428,13096.118220444889,95689.71054529618,34279.03052406679,129968.74106936298
5,17000000,2048 2048 3072 2048,tree,b,4,189.6633750000001,1872.6988846153847,15.618167051914783,60.138865882000005,19310.8,261.28721571665733,43375.8061938062,33023.54628787348,15481.588062416906,48505.13435029039
5,17000000,2048 2048 3072 2048,random,a,1,589.2573750000001,1390.1497499999998,50.00250012500625,84.0296637595,3739.50572519084,222.83337947494027,3425.986013986014,186.4801864801865,89.32733932733933,275.8075258075258
5,17000000,2048 2048 3072 2048,random,a,2,320.88053703703696,1542.8094999999996,33.333333333333336,9.654395989,7781.666666666667,258.0904287731187,8500.792995295347,62986.20537681798,18197.25282797121,81183.45820478919
5,17000000,2048 2048 3072 2048,random,a,4,236.0440431034484,2634.896285714286,16.666666666666668,100.77070952071428,19045.20833333333,256.9337155764172,32798.99527908914,44986.27107936045,15557.766762242632,60544.03784160309
5,17000000,2048 2048 3072 2048,random,b,1,489.2185,1309.8647500000002,49.99750012499375,78.512464797625,4228.056640625,245.92930911062916,3944.886113886114,127.57385854968666,73.60675917636526,201.18061772605196
5,17000000,2048 2048 3072 2048,random,b,2,341.78210169491524,5928.699999999999,33.332222259258025,91.27953088328572,8846.521126760563,235.88130975682216,7420.810099947396,65987.77234646941,16988.305864371097,82976.07821084051
5,17000000,2048 2048 3072 2048,random,b,4,155.44705833333325,587.8241034482758,18.07501129688206,48.52292469324137,17010.0,238.60996373796257,35015.85914085914,30693.939851028223,13805.819524353366,44499.75937538159
5,17000000,5120 2048 3072 2048,ring,a,1,462.4680270270269,2273.52975,50.0,68.71581121724999,4112.446511627907,259.0369759933776,2863.695706285004,50090.80950050113,35972.14646994383,86062.95597044496
5,17000000,5120 2048 3072 2048,ring,a,2,325.97464150943387,2353.5331666666666,33.333333333333336,9.747358299833335,8118.95744680851,231.952608315413,8183.042253521126,29443.77192379118,16555.677832037967,45999.44975582915
5,17000000,5120 2048 3072 2048,ring,a,4,172.46492473118278,1563.5797142857143,16.666666666666668,105.161312526,19385.33333333333,235.40570622845956,27344.29882184934,25029.789184234647,14135.026177197098,39164.81536143174
5,17000000,5120 2048 3072 2048,ring,b,1,515.40375,1276.269,50.0,91.219843188625,3613.835643564357,224.756111854104,3346.532467532468,99.66995256934274,54.53432711853293,154.20427968787567
5,17000000,5120 2048 3072 2048,ring,b,2,315.3618448275862,1703.8441428571427,33.333333333333336,84.66438066399999,7999.106060606061,227.1022882634561,7997.60741885626,23668.6599464662,17109.75852839,40778.4184748562
5,17000000,5120 2048 3072 2048,ring,b,4,146.13917021276592,710.2281739130435,16.66694444907415,41.75751578460869,18671.0,255.0225350087665,38377.844311377245,21306.973362648143,16947.259620016994,38254.23298266514
5,17000000,5120 2048 3072 2048,tree,a,1,454.9522777777778,5324.125875,50.0,4.48176206425,3252.826086956521,260.3383389618509,1981.4583198183584,107636.79680295112,41625.94967282948,149262.7464757806
5,17000000,5120 2048 3072 2048,tree,a,2,393.9438461538463,2971.3291666666664,33.333333333333336,9.752319215166668,8446.875,264.0579747995428,5962.951817180617,70370.15174595735,33496.147761893604,103866.29950785096
5,17000000,5120 2048 3072 2048,tree,a,4,182.7646607142856,2607.954857142857,16.66638889351844,131.27224458071427,18847.75,246.5439331230297,37317.63159210198,50888.10285385196,19374.035939701,70262.13879355295
5,17000000,5120 2048 3072 2048,tree,b,1,408.1520512820512,1310.389125,49.99750012499375,4.499919472625,3780.9545454545455,251.01905078028196,3589.368631368631,88698.71544503754,49396.51955040576,138095.23499544332
5,17000000,5120 2048 3072 2048,tree,b,2,288.0269672131148,1308.0655714285715,33.333333333333336,84.9589226382857,8886.875,254.14675437465365,7578.460798074995,100998.27975945066,32387.11099105759,133385.39075050826
5,17000000,5120 2048 3072 2048,tree,b,4,143.77430851063826,6200.4558400000005,19.67450813729657,70.57565635556,18901.85,251.0254838127331,30884.027918781725,33606.01240335051,16855.529155927834,50461.541559278354
5,17000000,5120 2048 3072 2048,random,a,1,698.854375,1788.1293750000002,49.99750012499375,61.314072367875006,3923.0320945945946,222.63596831364123,3919.282717282717,123.37716961556796,57.00586041555674,180.3830300311247
5,17000000,5120 2048 3072 2048,random,a,2,286.0736363636364,1433.4803333333332,33.333333333333336,9.8232166425,8103.436893203883,264.428423007119,8895.8722513089,68819.60258019828,23374.90800467553,92194.5105848738
5,17000000,5120 2048 3072 2048,random,a,4,169.30300909090914,1493.417428571429,16.666666666666668,102.92249615399996,18999.36842105263,239.77295875603835,31494.44626492641,42957.86268081602,14622.519848976865,57580.382529792885
5,17000000,5120 2048 3072 2048,random,b,1,646.8140000000001,1291.611625,49.99750012499375,4.3848185087500005,4329.777992277992,263.8019566579632,4087.3896103896095,116.12804645121858,56.73975602923574,172.86780248045432
5,17000000,5120 2048 3072 2048,random,b,2,321.34387931034473,1218.6315714285715,33.333333333333336,88.82868189985712,8345.5625,236.3561184875166,7760.855823499231,59684.57000486841,15600.904951459092,75285.4749563275
5,17000000,5120 2048 3072 2048,random,b,4,142.4653656716418,1415.6714545454545,18.1218513283317,49.90691145081816,14634.4,230.75092401288435,27839.979020979023,26581.557907152863,12142.77576350586,38724.33367065872
